Membership No  Date Joined  Active  
    63554      2018-12-15   no    
    54523      2015-8-8     yes   
    62106      2016-9-17    no    
    53825      2019-5-5     no    
    75028      2018-6-14    no    
    54144      2019-12-12   no    
    38431      2015-2-1     yes   
    79361      2016-4-16    yes   
    97354      2015-7-7     no    
    71570      2016-4-5     yes   
    98571      2019-3-25    no    
    65766      2016-10-24   no    
    38374      2017-11-22   no    
    47975      2019-6-13    no    
    12856      2020-5-18    yes   
    92982      2019-2-14    no    
    58528      2017-6-19    no    
    97792      2018-2-1     yes   
    22177      2017-9-8     yes   
    33441      2016-8-9     no    
